    0000 - הכנסות המדינה,,,,,,,, , , , , , 
        000001 - מס הכנסה,,,,,,,, , , , , , 
            00000101 - מס הכנסה,,,,,,,, , , , , , 
            00000101 - מס הכנסה,,,,0,,0,, , , , , , 
            00000102 - מס הכנסה שכירים,,,,,,,, , , , , , 
                0000010201 - מס הכנסה שכירים,36200000,36200000,54192962,17992962,149.7,17992962,149.7, , , , , , 
            00000102 - מס הכנסה שכירים,36200000,36200000,54192962,17992962,149.7,17992962,149.7, , , , , , 
            00000103 - מס הכנסה סקטור עסקי,,,,,,,, , , , , , 
                0000010301 - מס הכנסה חברות,28500000,28500000,31077178,2577178,109,2577178,109, , , , , , 
                0000010302 - מס הכנסה עצמאים,9300000,9300000,,-9300000,0,-9300000,0, , , , , , 
                0000010303 - מס הכנסה מנהלי חברות,9500000,9500000,,-9500000,0,-9500000,0, , , , , , 
                0000010304 - הכנסות משוק ההון,3200000,3200000,,-3200000,0,-3200000,0, , , , , , 
            00000103 - מס הכנסה סקטור עסקי,50500000,50500000,31077178,-19422822,61.5,-19422822,61.5, , , , , , 
        000001 - מס הכנסה,86700000,86700000,85270140,-1429860,98.4,-1429860,98.4, , , , , , 
        000002 - מיסים על הוצאות שכר,,,,,,,, , , , , , 
            00000201 - מס מעסיקים,,,,,,,, , , , , , 
            00000201 - מס מעסיקים,,,,0,,0,, , , , , , 
"            00000202 - מע""מ על מלכרים",,,,,,,, , , , , , 
"                0000020201 - מע""מ על מלכרים",8200000,8200000,8917721,717721,108.8,717721,108.8, , , , , , 
"            00000202 - מע""מ על מלכרים",8200000,8200000,8917721,717721,108.8,717721,108.8, , , , , , 
"            00000203 - מע""מ על פיננסים",,,,,,,, , , , , , 
"                0000020301 - מע""מ על פיננסים",2300000,2300000,2527343,227343,109.9,227343,109.9, , , , , , 
"            00000203 - מע""מ על פיננסים",2300000,2300000,2527343,227343,109.9,227343,109.9, , , , , , 
        000002 - מיסים על הוצאות שכר,10500000,10500000,11445064,945064,109,945064,109, , , , , , 
        000003 - מס שבח,,,,,,,, , , , , , 
            00000301 - מס שבח,,,,,,,, , , , , , 
                0000030101 - מס שבח,2200000,2200000,2931683,731683,133.3,731683,133.3, , , , , , 
            00000301 - מס שבח,2200000,2200000,2931683,731683,133.3,731683,133.3, , , , , , 
        000003 - מס שבח,2200000,2200000,2931683,731683,133.3,731683,133.3, , , , , , 
        000004 - מס רכישה,,,,,,,, , , , , , 
            00000401 - מס רכישה,,,,,,,, , , , , , 
                0000040101 - מס רכישה,3900000,3900000,3177492,-722508,81.5,-722508,81.5, , , , , , 
            00000401 - מס רכישה,3900000,3900000,3177492,-722508,81.5,-722508,81.5, , , , , , 
        000004 - מס רכישה,3900000,3900000,3177492,-722508,81.5,-722508,81.5, , , , , , 
        000005 - מס רכוש,,,,,,,, , , , , , 
            00000501 - מס רכוש,,,,,,,, , , , , , 
                0000050101 - מס רכוש,,,61015,61015,,61015,, , , , , , 
            00000501 - מס רכוש,,,61015,61015,,61015,, , , , , , 
        000005 - מס רכוש,,,61015,61015,,61015,, , , , , , 
        000006 - מס מכירה,,,,,,,, , , , , , 
            00000601 - מס מכירה,,,,,,,, , , , , , 
                0000060101 - מס מכירה,,,35852,35852,,35852,, , , , , , 
            00000601 - מס מכירה,,,35852,35852,,35852,, , , , , , 
        000006 - מס מכירה,,,35852,35852,,35852,, , , , , , 
        000007 - מס מעסיקים,,,,,,,, , , , , , 
            00000701 - מס מעסיקים,,,,,,,, , , , , , 
                0000070101 - מס מעסיקים,200000,200000,382801,182801,191.4,182801,191.4, , , , , , 
            00000701 - מס מעסיקים,200000,200000,382801,182801,191.4,182801,191.4, , , , , , 
        000007 - מס מעסיקים,200000,200000,382801,182801,191.4,182801,191.4, , , , , , 
        000008 - מיסי הכנסה-עדכון מחירים,,,,,,,, , , , , , 
            00000801 - מיסי הכנסה-עדכון מחירים,,,,,,,, , , , , , 
            00000801 - מיסי הכנסה-עדכון מחירים,,,,0,,0,, , , , , , 
        000008 - מיסי הכנסה-עדכון מחירים,,,,0,,0,, , , , , , 
        000009 - מיסי הכנסה-העמקת הגביה,,,,,,,, , , , , , 
            00000901 - מיסי הכנסה-העמקת הגביה,,,,,,,, , , , , , 
