0000010201 - מס הכנסה שכירים,32075000,32075000,62436151,30361151,194.7,30361151,194.7,, , , , , 
00000102 - מס הכנסה שכירים,32075000,32075000,62436151,30361151,194.7,30361151,194.7,, , , , , 
0000010301 - מס הכנסה חברות,21000000,21000000,26110706,5110706,124.3,5110706,124.3,, , , , , 
0000010302 - מס הכנסה עצמאים,7600000,7600000,,-7600000,0,-7600000,0,, , , , , 
0000010303 - מס הכנסה מנהלי חברות,8100000,8100000,,-8100000,0,-8100000,0,, , , , , 
0000010304 - הכנסות משוק ההון,2200000,2200000,,-2200000,0,-2200000,0,, , , , , 
00000103 - מס הכנסה סקטור עסקי,38900000,38900000,26110706,-12789294,67.1,-12789294,67.1,, , , , , 
000001 - מס הכנסה,70975000,70975000,88546857,17571857,124.8,17571857,124.8,, , , , , 
"0000020201 - מע""מ על מלכרים",8300000,8300000,,-8300000,0,-8300000,0,, , , , , 
"00000202 - מע""מ על מלכרים",8300000,8300000,,-8300000,0,-8300000,0,, , , , , 
"0000020301 - מע""מ על פיננסים",2000000,2000000,,-2000000,0,-2000000,0,, , , , , 
"00000203 - מע""מ על פיננסים",2000000,2000000,,-2000000,0,-2000000,0,, , , , , 
000002 - מיסים על הוצאות שכר,10300000,10300000,,-10300000,0,-10300000,0,, , , , , 
0000030101 - מס שבח,1700000,1700000,6530272,4830272,384.1,4830272,384.1,, , , , , 
00000301 - מס שבח,1700000,1700000,6530272,4830272,384.1,4830272,384.1,, , , , , 
000003 - מס שבח,1700000,1700000,6530272,4830272,384.1,4830272,384.1,, , , , , 
0000040101 - מס רכישה,2125000,2125000,-1826134,-3951134,-85.9,-3951134,-85.9,, , , , , 
00000401 - מס רכישה,2125000,2125000,-1826134,-3951134,-85.9,-3951134,-85.9,, , , , , 
000004 - מס רכישה,2125000,2125000,-1826134,-3951134,-85.9,-3951134,-85.9,, , , , , 
0000050101 - מס רכוש,,,29045,29045,,29045,,, , , , , 
00000501 - מס רכוש,,,29045,29045,,29045,,, , , , , 
000005 - מס רכוש,,,29045,29045,,29045,,, , , , , 
0000060101 - מס מכירה,,,28,28,,28,,, , , , , 
00000601 - מס מכירה,,,28,28,,28,,, , , , , 
000006 - מס מכירה,,,28,28,,28,,, , , , , 
0000110101 - מכס והיטל על היבוא,2500000,2500000,2696341,196341,107.9,196341,107.9,, , , , , 
00001101 - מכס והיטל על היבוא,2500000,2500000,2696341,196341,107.9,196341,107.9,, , , , , 
000011 - מכס והיטל על היבוא,2500000,2500000,2696341,196341,107.9,196341,107.9,, , , , , 
0000130201 - מס קניה מוצרי יבוא,12100000,12100000,14132957,2032957,116.8,2032957,116.8,, , , , , 
00001302 - מס קניה מוצרי יבוא,12100000,12100000,14132957,2032957,116.8,2032957,116.8,, , , , , 
0000130301 - מס קניה מקומי,200000,200000,304332,104332,152.2,104332,152.2,, , , , , 
00001303 - מס קניה מקומי,200000,200000,304332,104332,152.2,104332,152.2,, , , , , 
000013 - מס קניה,12300000,12300000,14437288,2137288,117.4,2137288,117.4,, , , , , 
"0000140201 - מע""מ ייצור מקומי",64000000,64000000,31293667,-32706333,48.9,-32706333,48.9,, , , , , 
"0000140202 - מע""מ ייבוא אזרחי",,,32832222,32832222,,32832222,,, , , , , 
"0000140203 - מע""מ ייבוא בטחוני",1334664,1334664,1030197,-304467,77.2,-304467,77.2,, , , , , 
"00001402 - תקבולי מע""מ נטו",65334664,65334664,65156086,-178578,99.7,-178578,99.7,, , , , , 
"000014 - תקבולי מע""מ ברוטו",65334664,65334664,65156086,-178578,99.7,-178578,99.7,, , , , , 
0000150101 - מס טבק - בלו,900000,900000,819906,-80094,91.1,-80094,91.1,, , , , , 
00001501 - מס טבק - בלו,900000,900000,819906,-80094,91.1,-80094,91.1,, , , , , 
000015 - מס טבק - בלו,900000,900000,819906,-80094,91.1,-80094,91.1,, , , , , 
0000180101 - מס דלק,13600000,13600000,16748118,3148118,123.1,3148118,123.1,, , , , , 
0000180103 - מס על סולר,,,-2111512,-2111512,,-2111512,,, , , , , 
00001801 - מס דלק,13600000,13600000,14636606,1036606,107.6,1036606,107.6,, , , , , 
000018 - מס דלק,13600000,13600000,14636606,1036606,107.6,1036606,107.6,, , , , , 
0000200101 - מס בולים,,,20511,20511,,20511,,, , , , , 
00002001 - מס בולים,,,20511,20511,,20511,,, , , , , 
000020 - מס בולים,,,20511,20511,,20511,,, , , , , 
0000240101 - אגרות כלי רכב,,,3032187,3032187,,3032187,,, , , , , 
00002401 - אגרות כלי רכב,,,3032187,3032187,,3032187,,, , , , , 
000024 - אגרות כלי רכב,,,3032187,3032187,,3032187,,, , , , , 
"0000250101 - אגרות, קנסות ורשיונות",,,1233493,1233493,,1233493,,, , , , , 
0000250102 - קנסות,,,249746,249746,,249746,,, , , , , 
00002501 - אגרות קנסות ורשיונות,,,1483239,1483239,,1483239,,, , , , , 
0000250201 - אגרות בתי משפט,,,319701,319701,,319701,,, , , , , 
00002502 - אגרות בתי משפט,,,319701,319701,,319701,,, , , , , 
0000250301 - אגרות תדרים,,,273582,273582,,273582,,, , , , , 
00002503 - אגרות תדרים,,,273582,273582,,273582,,, , , , , 
0000250501 - רשיון שנתי לבנקים,,,29070,29070,,29070,,, , , , , 
00002505 - רשיון שנתי לבנקים,,,29070,29070,,29070,,, , , , , 
0000250601 - אגרות לרישוי סוכני בטוח,,,9966,9966,,9966,,, , , , , 
00002506 - אגרות לרישוי סוכני בטוח,,,9966,9966,,9966,,, , , , , 
0000250701 - אגרות,4700000,4700000,160,-4699840,0,-4699840,0,, , , , , 
00002507 - אגרות,4700000,4700000,160,-4699840,0,-4699840,0,, , , , , 
000025 - אגרות קנסות ורשיונות,4700000,4700000,2115717,-2584283,45,-2584283,45,, , , , , 
"0000340101 - ריבית במט""ח",89900,89900,1992,-87908,2.2,-87908,2.2,, , , , , 
"00003401 - ריבית במט""ח",89900,89900,1992,-87908,2.2,-87908,2.2,, , , , , 
0000340201 - ריבית בגין כספי ערבויות,,,323088,323088,,323088,,, , , , , 
00003402 - ריבית בגין כספי ערבויות,,,323088,323088,,323088,,, , , , , 
"000034 - ריבית במט""ח",89900,89900,325080,235180,361.6,235180,361.6,, , , , , 
0000350101 - גביית ריבית,2209820,2209820,33846,-2175974,1.5,-2175974,1.5,, , , , , 
00003501 - גביית ריבית,2209820,2209820,33846,-2175974,1.5,-2175974,1.5,, , , , , 
0000350201 - גביית ריבית ממשכנתאות,,,1142388,1142388,,1142388,,, , , , , 
0000350202 - גביית הצמדה לרבית -,,,359697,359697,,359697,,, , , , , 
0000350203 - גביית ריבית- מח' הגבייה,,,95015,95015,,95015,,, , , , , 
0000350204 - גביית הצמדה לריבית,,,126107,126107,,126107,,, , , , , 
00003502 - גביית ריבית מח' הגבייה,,,1723207,1723207,,1723207,,, , , , , 
0000350301 - תקבולי ריבית שונים,,,497,497,,497,,, , , , , 
00003503 - תקבולי רבית מגורמים שונ,,,497,497,,497,,, , , , , 
000035 - גביית ריבית,2209820,2209820,1757550,-452270,79.5,-452270,79.5,, , , , , 
0000410101 - ריבית מבנק ישראל,,,266591,266591,,266591,,, , , , , 
00004101 - ריבית מבנק ישראל,,,266591,266591,,266591,,, , , , , 
000041 - ריבית מבנק ישראל,,,266591,266591,,266591,,, , , , , 
0000420101 - תמלוגים ממפעלים עסקיים,241050,241050,63719,-177331,26.4,-177331,26.4,, , , , , 
00004201 - תמלוגים ממפעלים עסקיים,241050,241050,63719,-177331,26.4,-177331,26.4,, , , , , 
000042 - תמלוגים ממפעלים עסקיים,241050,241050,63719,-177331,26.4,-177331,26.4,, , , , , 
0000430101 - תמלוגים מאוצרות טבע,188000,188000,407738,219738,216.9,219738,216.9,, , , , , 
00004301 - תמלוגים מאוצרות טבע,188000,188000,407738,219738,216.9,219738,216.9,, , , , , 
000043 - תמלוגים מאוצרות טבע,188000,188000,407738,219738,216.9,219738,216.9,, , , , , 
0000440101 - תמלוגים מחברות ממשלתיות,47880,47880,,-47880,0,-47880,0,, , , , , 
0000440103 - תמלוגים מרשות שדות התעו,,,17547,17547,,17547,,, , , , , 
0000440104 - תמלוגים מרשות הנמלים,,,81984,81984,,81984,,, , , , , 
00004401 - תמלוגים מחברות ממשלתיות,47880,47880,99531,51651,207.9,51651,207.9,, , , , , 
000044 - תמלוגים מחברות ממשלתיות,47880,47880,99531,51651,207.9,51651,207.9,, , , , , 
0000450101 - דוידנדים מחברות ממשלתיו,284000,284000,267131,-16869,94.1,-16869,94.1,, , , , , 
00004501 - דוידנדים מחברות ממשלתיו,284000,284000,267131,-16869,94.1,-16869,94.1,, , , , , 
0000450201 - דיוידנדים מחברות שונות,,,67,67,,67,,, , , , , 
0000450202 - דיוידנדים מבזק,,,37501,37501,,37501,,, , , , , 
0000450204 - דיוידנדים מבתי זיקוק,,,2484,2484,,2484,,, , , , , 
00004502 - דיוידנדים מחברות,,,40052,40052,,40052,,, , , , , 
0000450301 - דיוידנדים מבנק לאומי,,,57296,57296,,57296,,, , , , , 
00004503 - דיוידנדים מבנקים שבהסדר,,,57296,57296,,57296,,, , , , , 
000045 - דיוידנדים מחברות ממשלתי,284000,284000,364479,80479,128.3,80479,128.3,, , , , , 
"0000460101 - החזר ע""ח שנים קודמות",100000,100000,290130,190130,290.1,190130,290.1,, , , , , 
"00004601 - החזר ע""ח שנים קודמות",100000,100000,290130,190130,290.1,190130,290.1,, , , , , 
"000046 - החזר ע""ח שנים קודמות",100000,100000,290130,190130,290.1,190130,290.1,, , , , , 
0000470101 - הכנסות שונות,760000,760000,1086742,326742,143,326742,143,, , , , , 
0000470102 - רכישת זכויות גמלה %18.5,,,12666,12666,,12666,,, , , , , 
0000470103 - גימלה %2,,,8,8,,8,,, , , , , 
0000470104 - צרוף שרות קודם,,,417,417,,417,,, , , , , 
0000470105 - החרמות,,,2127,2127,,2127,,, , , , , 
0000470106 - הכנסות מהפרשי שער,,,193,193,,193,,, , , , , 
0000470108 - תמלוגים מסלקום ופלאפון,,,282760,282760,,282760,,, , , , , 
0000470113 - הכנסות מתרומות,,,131,131,,131,,, , , , , 
0000470115 - החזר זכות גימלה,,,741,741,,741,,, , , , , 
0000470116 - היטל בצורת,850000,850000,,-850000,0,-850000,0,, , , , , 
00004701 - הכנסות שונות,1610000,1610000,1385786,-224214,86.1,-224214,86.1,, , , , , 
000047 - הכנסות שונות,1610000,1610000,1385786,-224214,86.1,-224214,86.1,, , , , , 
0000480101 - הכנסה מיועדת מעל האומדן,157000,157000,295404,138404,188.2,138404,188.2,, , , , , 
00004801 - הכנסה מיועדת מעל האומדן,157000,157000,295404,138404,188.2,138404,188.2,, , , , , 
000048 - הכנסה מיועדת מעל האומדן,157000,157000,295404,138404,188.2,138404,188.2,, , , , , 
0000490101 - העברה מחלק ב',44607028,44607028,,-44607028,0,-44607028,0,, , , , , 
00004901 - העברה מחלק ב',44607028,44607028,,-44607028,0,-44607028,0,, , , , , 
000049 - העברה מחלק ב',44607028,44607028,,-44607028,0,-44607028,0,, , , , , 
0000500101 - דמי שימוש בנכסים ממשלתי,226000,226000,242286,16286,107.2,16286,107.2,, , , , , 
00005001 - דמי שימוש בנכסים ממשלתי,226000,226000,242286,16286,107.2,16286,107.2,, , , , , 
000050 - דמי שימוש בנכסים ממשלתי,226000,226000,242286,16286,107.2,16286,107.2,, , , , , 
0000510101 - גביית קרן,5174005,5174005,,-5174005,0,-5174005,0,, , , , , 
00005101 - גביית קרן,5174005,5174005,,-5174005,0,-5174005,0,, , , , , 
0000510201 - גביית קרן משכנתאות,,,4446928,4446928,,4446928,,, , , , , 
0000510202 - גביית הצמדה-קרן משכנתאו,,,1780389,1780389,,1780389,,, , , , , 
00005102 - גביית קרן - מח' הגבייה,,,6227317,6227317,,6227317,,, , , , , 
0000510301 - גביית קרן- גורמים שונים,,,335587,335587,,335587,,, , , , , 
0000510302 - גביית הצמדה לקרן- שונים,,,29298,29298,,29298,,, , , , , 
00005103 - גביית קרן- גורמים שונים,,,364885,364885,,364885,,, , , , , 
000051 - גביית קרן,5174005,5174005,6592202,1418197,127.4,1418197,127.4,, , , , , 
"0000530101 - גביית קרן במט""ח",57300,57300,232995,175695,406.6,175695,406.6,, , , , , 
"00005301 - גביית קרן במט""ח",57300,57300,232995,175695,406.6,175695,406.6,, , , , , 
"000053 - גביית קרן במט""ח",57300,57300,232995,175695,406.6,175695,406.6,, , , , , 
0000630101 - הכ. ממנהל מקרקעי ישראל,100000,100000,3065771,2965771,3065.8,2965771,3065.8,, , , , , 
00006301 - הכ. ממנהל מקרקעי ישראל,100000,100000,3065771,2965771,3065.8,2965771,3065.8,, , , , , 
000063 - הכ. ממנהל מקרקעי ישראל,100000,100000,3065771,2965771,3065.8,2965771,3065.8,, , , , , 
0000710101 - הפרשות לפנסיה יח'משקיות,,,10686,10686,,10686,,, , , , , 
00007101 - הפרשות לפנסיה יח'משקיות,,,10686,10686,,10686,,, , , , , 
000071 - הפרשות לפנסיה-יח'משקיות,,,10686,10686,,10686,,, , , , , 
0000720101 - הפרשות לפנסיה מ. עסקיים,9000,9000,,-9000,0,-9000,0,, , , , , 
00007201 - הפרשות לפנסיה מ. עסקיים,9000,9000,,-9000,0,-9000,0,, , , , , 
000072 - הפרשות לפנסיה מ. עסקיים,9000,9000,,-9000,0,-9000,0,, , , , , 
0000730101 - הפרשות לפנסיה - חברות,3000,3000,2557,-443,85.2,-443,85.2,, , , , , 
00007301 - הפרשות לפנסיה - חברות,3000,3000,2557,-443,85.2,-443,85.2,, , , , , 
000073 - הפרשות לפנסיה - חברות,3000,3000,2557,-443,85.2,-443,85.2,, , , , , 
0000750201 - מכירת בנקים שבהסדר,,,1817467,1817467,,1817467,,, , , , , 
00007502 - מכירת בנקים שבהסדר,,,1817467,1817467,,1817467,,, , , , , 
0000750301 - מכירת קרקע בבעלות מדינה,500000,500000,,-500000,0,-500000,0,, , , , , 
00007503 - מכירת קרקע בבעלות מדינה,500000,500000,,-500000,0,-500000,0,, , , , , 
000075 - הכנסות הון,500000,500000,1817467,1317467,363.5,1317467,363.5,, , , , , 
